605599,2025-04-09,1160,1173,1173,1130,36173,4149,26
605598,2025-04-09,1804,1798,1816,1695,10428,1837,-44
605589,2025-04-09,2350,2374,2410,2247,118269,27661,8
605588,2025-04-09,4248,4424,4545,3991,52656,22232,-23
605580,2025-04-09,957,948,957,888,34560,3189,-257
605577,2025-04-09,1192,1194,1197,1095,52819,6059,-165
605567,2025-04-09,849,854,872,816,83323,6965,-47
605566,2025-04-09,1600,1610,1616,1500,7599,1183,177
605555,2025-04-09,1750,1769,1809,1640,82391,14285,-275
605507,2025-04-09,1951,1912,1951,1863,54946,10431,-250
605500,2025-04-09,618,630,631,593,26533,1621,96
605499,2025-04-09,25200,25502,25878,25060,21410,54458,-38
605488,2025-04-09,3231,3385,3420,3117,108676,35352,-225
605399,2025-04-09,1020,1038,1049,955,33571,3364,-124
605398,2025-04-09,2643,2666,2713,2443,39090,10104,-4
605389,2025-04-09,2626,2662,2688,2494,9541,2475,-246
605388,2025-04-09,582,596,597,551,71896,4139,-17
605378,2025-04-09,1868,1916,1929,1736,42335,7780,-16
605377,2025-04-09,1153,1142,1158,1117,13717,1561,-95
605376,2025-04-09,2888,2888,2888,2624,83421,22910,-96
605369,2025-04-09,2420,2387,2430,2289,9849,2317,-273
605368,2025-04-09,1075,1069,1075,1050,38278,4057,-111
605366,2025-04-09,504,507,508,472,52575,2573,-59
605365,2025-04-09,1247,1237,1263,1186,27176,3337,-183
605358,2025-04-09,2024,2094,2123,1950,79022,16153,205
605339,2025-04-09,1561,1571,1575,1518,8714,1344,19
605338,2025-04-09,1877,1848,1877,1790,83120,15283,71
605337,2025-04-09,1233,1221,1246,1177,253827,30790,175
605336,2025-04-09,1650,1613,1650,1508,28764,4502,-376
605333,2025-04-09,2610,2796,2826,2493,73389,19782,495
605319,2025-04-09,2615,2744,2832,2483,43659,11668,414
605318,2025-04-09,2760,2748,2793,2520,9689,2605,-168
605305,2025-04-09,2213,2196,2260,2080,61478,13332,-335
605303,2025-04-09,783,806,809,745,44990,3509,100
605300,2025-04-09,1318,1312,1318,1240,30993,3968,-98
605299,2025-04-09,734,751,755,707,33979,2481,27
605298,2025-04-09,1128,1130,1140,1034,25211,2747,0
605296,2025-04-09,3160,3214,3408,3030,99320,31904,72
605289,2025-04-09,1996,1996,2015,1865,16620,3208,-104
605288,2025-04-09,3365,3380,3441,3200,4396,1459,-174
605287,2025-04-09,1093,1101,1109,1011,31103,3281,-27
605286,2025-04-09,3489,3364,3489,3175,27184,8974,-454
605277,2025-04-09,1319,1388,1398,1265,91974,12232,36
605268,2025-04-09,727,730,732,686,24795,1761,-54
605266,2025-04-09,1930,1930,1949,1834,23476,4429,-158
605259,2025-04-09,1361,1346,1361,1270,20271,2660,-204
605258,2025-04-09,2380,2467,2508,2285,17959,4311,-163
605255,2025-04-09,1323,1345,1348,1227,43150,5496,-132
605228,2025-04-09,870,867,879,801,79292,6670,-181
605222,2025-04-09,1410,1436,1444,1366,20795,2920,127
605218,2025-04-09,1691,1704,1717,1558,33049,5395,-81
605208,2025-04-09,871,894,917,851,433851,37897,-540
605199,2025-04-09,1300,1312,1327,1222,70921,8988,-317
605198,2025-04-09,3600,3727,3748,3566,14518,5306,373
605196,2025-04-09,1180,1144,1180,1072,135026,14969,-387
605189,2025-04-09,1161,1150,1162,1105,14010,1582,-188
605188,2025-04-09,768,761,815,704,207797,15716,120
605186,2025-04-09,1756,1732,1756,1634,29034,4917,-248
605183,2025-04-09,1354,1415,1427,1325,31630,4368,122
605180,2025-04-09,1112,1123,1141,1035,22975,2482,-114
605179,2025-04-09,2048,1979,2048,1896,159153,31241,-25
605178,2025-04-09,1400,1397,1400,1277,14473,1936,-141
605177,2025-04-09,1576,1571,1578,1480,22464,3445,-175
605169,2025-04-09,892,876,892,838,24180,2092,-277
605168,2025-04-09,2486,2509,2518,2320,32323,7843,-8
605167,2025-04-09,815,817,827,757,80253,6376,-216
605166,2025-04-09,1013,1012,1028,941,84398,8286,-269
605162,2025-04-09,677,675,678,632,66246,4329,-246
605158,2025-04-09,722,733,736,689,29380,2095,-108
605155,2025-04-09,1046,1055,1059,976,32521,3321,-9
605151,2025-04-09,1435,1456,1460,1340,17670,2475,-68
605138,2025-04-09,502,499,503,472,29392,1432,-138
605136,2025-04-09,625,635,638,581,76519,4665,16
605133,2025-04-09,2681,2640,2681,2414,41065,10467,-157
605128,2025-04-09,3525,3599,3600,3360,13841,4828,45
605123,2025-04-09,5156,5371,5450,5075,21199,11187,303
605122,2025-04-09,954,947,954,882,13558,1235,-63
605118,2025-04-09,1530,1526,1569,1449,82241,12300,-522
605117,2025-04-09,8002,8110,8229,7818,46017,36955,-110
605116,2025-04-09,1975,1909,1975,1870,20451,3902,-417
605111,2025-04-09,2970,3032,3085,2812,94547,27981,107
605108,2025-04-09,2033,2027,2130,1988,33292,6813,-78
605100,2025-04-09,2035,2157,2189,1950,99315,20847,316
605099,2025-04-09,1719,1718,1765,1679,12496,2139,-266
605098,2025-04-09,3658,3760,3799,3524,12630,4629,304
605090,2025-04-09,2396,2392,2406,2343,19702,4680,-83
605089,2025-04-09,2307,2270,2307,2190,8108,1812,-118
605088,2025-04-09,2643,2682,2750,2500,69653,18239,-346
605086,2025-04-09,2278,2320,2351,2100,26784,5964,87
605081,2025-04-09,1180,1180,1180,1180,13496,1593,997
605080,2025-04-09,2050,2069,2112,2009,70119,14326,-730
605077,2025-04-09,1340,1380,1385,1311,33699,4549,7
605069,2025-04-09,800,806,828,735,120347,9249,-135
605068,2025-04-09,1272,1295,1319,1173,29828,3703,8
605066,2025-04-09,657,664,670,611,145110,9316,-45
605060,2025-04-09,1448,1538,1575,1376,44453,6502,179
605058,2025-04-09,1890,1923,1946,1780,25864,4826,-16
605056,2025-04-09,1192,1217,1240,1124,36785,4374,-8
605055,2025-04-09,457,452,457,426,45309,1997,-238
605050,2025-04-09,916,942,956,888,29670,2728,64
605033,2025-04-09,1533,1557,1573,1439,25875,3903,-152
605028,2025-04-09,1470,1470,1489,1389,21359,3072,-310
605020,2025-04-09,2071,2038,2071,1978,61291,12431,-382
605018,2025-04-09,905,924,931,834,72343,6400,210
605016,2025-04-09,1569,1590,1611,1503,69871,10928,-323
605011,2025-04-09,2400,2341,2418,2220,88029,20386,-491
605009,2025-04-09,4690,4708,4732,4480,29818,13703,-173
605008,2025-04-09,1340,1340,1354,1250,28976,3768,-162
605007,2025-04-09,1158,1142,1158,1100,18820,2129,-164
605006,2025-04-09,520,531,534,488,77163,3932,19
605005,2025-04-09,1439,1402,1439,1351,23218,3225,-377
605003,2025-04-09,1632,1621,1642,1516,8546,1362,-357
605001,2025-04-09,578,585,588,545,69124,3919,-185
603999,2025-04-09,567,571,584,529,293080,16062,-289
603998,2025-04-09,908,910,912,847,109801,9642,-152
603997,2025-04-09,1028,1082,1094,995,97109,10237,305
603995,2025-04-09,1675,1707,1709,1623,46445,7733,119
603993,2025-04-09,607,610,619,591,2302956,138624,-177
603992,2025-04-09,1809,1820,1844,1713,22257,3968,-76
603991,2025-04-09,4419,4410,4440,4055,24023,10173,-200
